Name,Address,Manufacturer_state,Number,URL,Employees,Description,Capabilities_Overall
Farrar Grinding Company,"Inglewood, CA 90302 ",CA,877-FARRAR-8,http://www.farrar-grinding.com,Oct-49,"Company Description by Thomasnet
Precision grinding services for aerospace, commercial and military aviation and auto racing industries. Capabilities include blanchard, surface, centerless, CNC, cylindrical, internal and specialty spherical grinding services.
","['Grinding Services', 'Machinery Parts', 'Machining']"
"Arc United Engineering, Inc.","Chino, CA 91710 ",CA,909-230-5148,https://www.arcunited.com/index.html,9-Jan,"Company Description by Thomasnet
Custom manufacturer of plastic and rubber parts. Products include electronic, vehicle, spare, and computer parts and wheel hub. Capabilities are forging, casting, sintering, stamping, and precision machining. Suitable for use in hardware, telecommunications, mechanical, medical, and aerospace applications.
","['Automotive Parts', 'Boring Services', 'Broaching Services', 'Casting Services', 'Drilling Services', 'Extrusion Services', 'Fabrication Services', 'Forging Services', 'Forming Services', 'Grinding Services', 'Hobbing Services', 'Knurling Services', 'Machining', 'Manufacturing Services', 'Milling Services', 'Plastics', 'Prototyping Services', 'Rubber Goods', 'Stamping Services', 'Tapping Services', 'Tube Fabrication and Bending Services', 'Turning Services']"
Hoefner Corp.,"South El Monte, CA 91733 ",CA,626-443-3258,http://www.hoefnercorp.com,Oct-49,"Company Description by Thomasnet
Custom manufacturer of assemblies. Products include hydraulic, pneumatic, hydrostatic, electrical mechanical valves and assemblies. Capabilities include complex machining, assembly, milling, EDM, honing, turning and testing.
","['Assemblies', 'Machinery Parts', 'Machining', 'Milling Services', 'Turning Services', 'Valves']"
"Laser Industries, Inc.","Fullerton, CA 92831 ",CA,800-266-6660,http://www.laserindustries.com,50-99,"Company Description by Thomasnet
Machine shop specializing in sheet metal fabrication services for aerospace, commercial and industrial applications. Capabilities include assembly, CNC machining, shearing, laser and water jet cutting, welding, laser and chemical marking, brake, hot and hydro forming. Materials handled include aluminum, titanium, steel and stainless steel.
","['Cutting Services', 'Fabrication Services', 'Forming Services', 'Hydroforming Services', 'Machining', 'Welding Services']"
Meschkat Precision Machining,"Valencia, CA 91355 ",CA,661-257-2997,http://www.meschkat.us,Not Available,"Company Description by Thomasnet
Custom manufacturer of precision machined parts and components for medical, automotive and aerospace sectors. Capabilities include precision machining, milling, lathe work, EDM, and turning services. Materials handled include acrylics, aluminum, beryllium, brass, bronze, composites, copper, iron, nickel, stainless steel, titanium and tungsten.
","['COVID-19 Response', 'Fabrication Services', 'Machining', 'Medical Components', 'Milling Services', 'Tier 2 Medical Mfg. Supplies, Materials, Components & Services', 'Turning Services']"
Dyell Machine Shop,"Hesperia, CA 92345 ",CA,760-244-3333,http://www.dyellmachine.com/,Not Available,"Company Description by Thomasnet
Custom manufacturer of replacement parts for mining and aggregate, steel mill, pharmaceutical, chemical and forging industries. Capabilities include fabrication, machining, welding, straightening, lathe work and turning.
","['Fabrication Services', 'Machinery Parts', 'Machining', 'Turning Services']"
TRA - Medical,"Placentia, CA 92870 ",CA,714-630-0653,http://www.tra-medical.com,Not Available,"Company Description by Thomasnet
Full service plastic injection molding including product design services as well as tool design & manufacturing services. Industries served include commercial, aerospace & medical & maintain a class 100,000 clean room for molding services. Product design services for customers in medical, aerospace & sporting goods industries. Engineers using Solidworks & Mastercam software packages & are experienced in translating files from Pro Engineer, Catia & other design platforms. Plastics consulting for ease of manufacturability & durability in their product designs. Engineering, inspection, tooling & molding facilities. Off site molding capability up to 720 tons.
","['COVID-19 Response', 'Dies', 'Fabrication Services', 'Machining', 'Molding Services', 'Molds', 'Plastics', 'Tier 2 Medical Mfg. Supplies, Materials, Components & Services', 'Tooling']"
"Ballenger Spar Systems, Inc.","Watsonville, CA 95076 ",CA,831-763-1196,http://www.ballengerspars.com,9-Jan,"Company Description by Thomasnet
Custom manufacturer of racing and cruising spars. Products include mast and boom kits, spar parts, aluminum and carbon racing spars, marine hardware, rod rigging, halyards, jib and mainsail furlers and solid vangs. Capabilities include anodizing, painting and machining.
","['Boards', 'Booms', 'Gates', 'Hardware', 'Hooks', 'Locks', 'Machining', 'Mechanical Wire, Cable and Rope', 'Pulleys', 'Rods', 'Turning Services']"
"West Coast Machining, Inc.","Santa Fe Springs, CA 90670 ",CA,562-229-1087,http://www.westcoastmachining.com/,Oct-49,"Company Description by Thomasnet
General CNC machining of tools & production for the forging/casting, aerospace industry. Specializing in turning from 1.0 in. up to 192 in. in diameter. Gear blanks, milling & prototypes. Metals Include exotic alloys & aluminum alloys. Processing capabilities include trepanning, heat treat, stress relieving, straightening, flame cutting, saw cutting & ultrasonic inspections. Also machine parts for aerospace engine mfrs such as General Electric, Pratt & Whitney, Volvo & Rolls Royce.
","['Boring Services', 'Casting Services', 'Cutting Services', 'Drilling Services', 'Engineering Services', 'Forging Services', 'Gears', 'Inspection Services', 'Machining', 'Milling Services', 'Process Machinery', 'Research, Design and Development Services', 'Shafts', 'Stress Relieving Services', 'Tool and Die Services', 'Tools', 'Treatment Services', 'Turning Services']"
Master Precision Machining,"Santa Clara, CA 95050 ",CA,408-727-0185,http://www.master-precision.com,Oct-49,"Company Description by Thomasnet
Precision machining services for commercial and industrial sectors. Capabilities include vertical and horizontal milling services. Materials handled include copper, aluminum, brass, kovar, plastics, and stainless steel.
","['Machining', 'Milling Services']"
"Anoroc Precision Sheet Metal, Inc.","Gardena, CA 90248 ",CA,310-515-6015,http://www.anoroc.com,Oct-49,"Company Description by Thomasnet
Machine shop specializing in sheet metal fabrication services for military and aerospace sectors. Capabilities include machining, CNC turret punching, tapping, shearing, drilling, lathe work, milling, band sawing and cutting services.
","['Cutting Services', 'Fabrication Services', 'Forming Services', 'Machining', 'Milling Services', 'Punching Services', 'Stamping Services', 'Turning Services']"
On-Point Machining,"Pittsburg, CA 94565 ",CA,510-206-6465,http://www.onpointmachining.com,9-Jan,"Company Description by Thomasnet
Specializing in CNC machining for machined components. Materials worked include aluminum, brass, titanium, steel, plastic and stainless steel. Capabilities include fabrication, turning, prototyping, CNC programming and part production. Industries served include automotive, farm equipment and watercraft.
","['Additive Manufacturing', 'Fabrication Services', 'Machining', 'Turning Services']"
M P Aero LLC,"Van Nuys, CA 91406 ",CA,818-901-9828,http://www.mpaero.com/index.html,Oct-49,"Company Description by Thomasnet
Custom manufacturer and repair service provider specializing in aircraft interiors. Cabin monument construction including galleys, side-ledges, vanities, headliners, valances, partitions, tables, credenza cabinet, mounting structures and tie-rods. Capabilities include modifications, repair, forming and fabrication of composite structures including panels, doors, partitions, floor-boards and tables. Upholstery and trims fabricated with 9g's/16g's seats, divans upholstery and modifications, paneling, floor coverings, drapery. Installation/modification of full aircraft soundproofing systems available. Modifications and fabrications are performed in accordance with regulations of the appropriate aviation authority with the required engineering not limited to structures, cabin safety, electrical, interior compliance, systems and equipment. ***Parts manufacturing services for aircraft & aerospace applications. Capabilities include machining up to 40 in. x 120 in., abrasive waterjet cutting, welding, modification & sheet metal repairing. Featuring cap angle repairs, fabrication & installation of hush kits, access panels for tail modifications, clothespin attachment fitting modifications & major structural repairs.
Company Description by M P Aero LLC
We are a Federal Aviation Administration, ISO 9001:2008 and AS9100 certified company specializing in the manufacturing, assembly, repair, and prototyping of aerospace parts and components. We have manufactured parts for missiles, military jets, commercial jets, satellites, and spaceships. With our full in-house fabrication capabilities and process that stems from CNC machining, certified welding, and abrasive water jet cutting, our capabilities are virtually unlimited. Since we do not outsource, we ensure that our personnel are highly experienced and properly trained so your down time is kept to a minimum.
","['Aircraft Parts', 'Assemblies', 'Assembly Services', 'Bending Services', 'Casting Services', 'COVID-19 Response', 'Cutting Services', 'Engine Parts', 'Fabrication Services', 'Fixtures', 'Forming Services', 'Honeycomb', 'Interiors', 'Laminations', 'Machining', 'Maintenance and Repair Services', 'Medical Components', 'Metal Spinning Services', 'Milling Services', 'Modification Services', 'Molding Services', 'Molds', 'Prototyping Services', 'Shells', 'Spacecraft', 'Tier 2 Medical Mfg. Supplies, Materials, Components & Services', 'Tooling', 'Tube Fabrication and Bending Services', 'Turning Services', 'Welding Services']"
Miller Machine Works,"San Diego, CA 92102 ",CA,619-501-9866,http://www.millercnc.com,Not Available,"Company Description by Thomasnet
Manufacturer of  precision machined components for a wide variety of industries & technologies. A full service CNC machining facility with production CNC milling & turning & quick turn prototype machining.  Serves most manufacturing industries including aerospace, marine, medical, custom motorcycle,  motor racing & oil drilling.
","['Additive Manufacturing', 'COVID-19 Response', 'Machining', 'Medical Components', 'Milling Services', 'Motor Components', 'Tier 2 Medical Mfg. Supplies, Materials, Components & Services', 'Turning Services']"
"Conroy & Knowlton, Inc.","City of Commerce, CA 90040 ",CA,323-665-5288,http://www.conroyknowlton.com,Oct-49,"Company Description by Thomasnet
Custom manufacturer of precision machined plastic parts. Capabilities include precision machining, fabrication, sawing, drilling, milling, turning, punching, routing, bending, forming, threading, and assembly services. Markets served include aerospace, food service, computer, medical, electronics, packaging, transportation, building, and construction sectors.
","['Cutting Services', 'Fabrication Services', 'Forming Services', 'Insulation', 'Machinery Parts', 'Machining', 'Milling Services', 'Plastics', 'Punching Services', 'Turning Services']"
MMI Sonora,"Sonora, CA 95370 ",CA,209-533-1033,https://www.mmisonora.com,50-99,"Company Description by Thomasnet
CNC machining and gear cutting services. Capabilities include CNC milling, CNC turning, assembly, grinding, honing, sawing, welding, surface treatment, turnkey manufacturing, lean manufacturing, inspection, computer-aided manufacturing, solid modeling, design and engineering and prototyping. In addition we are capable of laser welding, all types of plating, coating and powder painting.
","['Assemblies', 'Assembly Services', 'Automotive Parts', 'Boring Services', 'Broaching Services', 'COVID-19 Response', 'Cutting Services', 'Drilling Services', 'Fabrication Services', 'Grinding Services', 'Hobbing Services', 'Knurling Services', 'Machining', 'Manufacturing Services', 'Medical Components', 'Milling Services', 'Plastics', 'Prototyping Services', 'Spacecraft', 'Subassemblies', 'Tapping Services', 'Tier 2 Medical Mfg. Supplies, Materials, Components & Services', 'Turning Services']"
"SaniSure, Inc.","Camarillo, CA 93012 ",CA,877-777-3005,http://www.sanisure.com/,9-Jan,"Company Description by Thomasnet
Custom manufacturer of bottle assemblies. Products include spinners, shakers, flasks, carboys, roller bottles, clamps, tubing, and closures. Capabilities include assembly, molding, welding, fabrication, and machining.
","['Caps', 'Clamps', 'Fabrication Services', 'Molding Services', 'Molds', 'Plastics', 'Tubes']"
CD MACHINE,"Fremont, CA 94539 ",CA,510-770-9448,http://cdmachining.com,Not Available,"Company Description by Thomasnet
Custom manufacturer of precision parts for semiconductor, electronic, medical, security and military industries. Materials handled include aluminum, steel, stainless steel, titanium, plastic, brass, bronze, and copper. Capabilities include CNC machining, milling, turning and lathe work.
","['COVID-19 Response', 'Fabrication Services', 'Machining', 'Medical Components', 'Milling Services', 'Plastics', 'Tier 2 Medical Mfg. Supplies, Materials, Components & Services', 'Turning Services']"
"Poly Extrusions, Inc.","Ontario, CA 91761 ",CA,909-350-3111,http://polyextrusionusa.com/,9-Jan,"Company Description by Thomasnet
Custom manufacturer of plastic products for the packaging, automotive, irrigation, medical, electronics, construction and athletics markets. Products selection includes tubing, profiles, biodegradable straws, cable rods, pull cables, sleeves, covers, guards and delineators. Capabilities include plastics fabrication, cutting, punching, drilling, forming, prototyping and high volume production machining.
","['Cutting Services', 'Fabrication Services', 'Forming Services', 'Machining', 'Plastics', 'Protectors', 'Punching Services', 'Tubes']"
"LAM Precision, Inc.","Anaheim, CA 92805 ",CA,714-554-6049,https://lamprecision.com/,Not Available,"Company Description by Thomasnet
Full service machine shop specializing in precision CNC machining services. Capabilities include prototype and production machining, conventional milling and turning, jig boring, jig grinding and honing.
","['Boring Services', 'Grinding Services', 'Machining', 'Milling Services', 'Turning Services']"
"WestShore Engineering, Inc.","Camarillo, CA 93012 ",CA,805-388-2100,http://www.westshoreengineering.com,9-Jan,"Company Description by Thomasnet
Turnkey manufacturing and engineering services. Materials used include carbon steel, tool steel, alloy steel, grey iron, stainless steel, aluminum, aluminum bronze, brass, bronze, copper, titanium, nickel alloys, InconelÂ®, HastelloyÂ®, polyethylene, polyurethane, acetal, acrylic, DelrinÂ®, nylon, rubber, VitonÂ®, silicone and EPDM. Capabilities include fabrication, CNC machining, stamping, forging, casting, forming, punching, shearing, milling, turning, threading, boring, tapping, facing, prototyping, short runs and medium to high volume production runs, profiling and reaming. Turnkey manufacturing capabilities include raw part manufacturing, assembly, laser marking, plating, passivation, painting, heat treatment, material verification, non-destructive and performance testing, plastisol and PTFE coating and full dimensional verification. Markets served include aerospace, defense, automotive, medical, industrial and electronics.
","['Additive Manufacturing', 'Aircraft Parts', 'Assemblies', 'Automotive Parts', 'Bonding Services', 'Boring Services', 'Casting Services', 'Engineering Services', 'Extrusion Services', 'Fabrication Services', 'Forging Services', 'Forming Services', 'Machining', 'Manufacturing Services', 'Milling Services', 'Mold Accessories', 'Molding Services', 'Plastics', 'Prototyping Services', 'Punching Services', 'Rubber Goods', 'Stamping Services', 'Tapping Services', 'Turning Services', 'Welding Services']"
Fiberset Composite Fabricators,"Mojave, CA 93501 ",CA,888-23-fiber,http://www.fiberset.com,Not Available,"Company Description by Thomasnet
Custom manufacturer of composite structures for aerospace, aviation, military and defense, renewable energy, automotive, marine, medical and industrial sectors. Products include carbon fiber composites, fiberglass components, aramid and hybrid parts, radomes, composite panels, housings and containment systems. Capabilities include CNC machining, fabrication, prototyping, resin transfer molding, casting and assembly.
","['Casting Services', 'Cutting Services', 'Fabrication Services', 'Honeycomb', 'Machining', 'Milling Services', 'Molding Services', 'Panels', 'Stamping Services']"
Turret Lathe Specialists Inc.,"Anaheim, CA 92805 ",CA,714-520-0058,http://www.turretlathespecialists.com,Oct-49,"Company Description by Thomasnet
Precision CNC machining and finishing of custom parts for the aerospace, defense and commercial industries. Capabilities include milling, turning, sawing, pressing, stamping, electro-etching, plating, boring, electro polishing, powder coating, testing, painting, surface grinding, bead blasting, deburring and inspection. Services include quoting, planning, purchasing, CNC programming, tracking, quality control and JIT delivery.
Company Description by Turret Lathe Specialists Inc.
Since our Founding in 1973, Turret Lathe Specialists Inc. has grown into Orange County's premier custom machined parts manufacturer. We have extensive experience with long-term contracts and just-in-time delivery, servicing the aerospace, defense and commercial industries.

Turret Lathe Specialists, Inc.'s mission is to satisfy the needs of our customers. We strive to make quality parts, delivered on time, with competitive pricing. We achieve this goal by employing well trained and knowledgeable staff in every department, and investing in the most state-of-the-art equipment for maximum efficiency and flexibility. With excellent resources such as these at our disposal, we are consistently able to meet and exceed the expectations of our customers.

We pride ourselves in doing the job right. Family owned and operated for over 35 years.
","['Blasting and Peening Services', 'Boring Services', 'Coating Services', 'Cutting Services', 'Deburring / Deflashing Services', 'Drilling Services', 'Fabrication Services', 'Finishing Services', 'Grinding Services', 'Machining', 'Milling Services', 'Painting Services', 'Plating Services', 'Polishing Services', 'Stamping Services', 'Treatment Services', 'Turning Services']"
Ortech Advanced Ceramics,"Sacramento, CA 95819 ",CA,916-549-9696,http://www.ortechceramics.com,Oct-49,"Company Description by Thomasnet
Manufacturer of standard and custom technical & advanced ceramics. Products include ceramic tubes, ceramic rods, ceramic plates, ceramic fish spine beads, ceramic substrates, ceramic seals, ceramic bearings & rollers, ceramic screws, nuts, bolts & washers, ceramic balls & ceramic plungers. Technical ceramic materials such as alumina oxide, zirconia oxide, silicon carbide, silicon nitride, steatite, sapphire, glass & tungsten carbide ceramics are available. Other products include alumina insulators, metallized ceramic products, alumina chemical packing balls & armor plates. Capabilities include CNC ceramic machining, grinding, polishing, ceramic isostatic pressing, ceramic dry pressing, ceramic injection molding, CAD/CAM engineering, prototyping & internal/external threading. Markets served include electronics, telecommunications, aerospace, semiconductors, medical equipment, engine components, thermal processing & fluid handling.
","['Alumina (Aluminum Oxide)', 'Armor', 'Balls', 'Beads', 'Bearings', 'Bolts', 'Ceramic Products', 'Ceramics', 'Fabrication Services', 'Fasteners', 'Fixtures', 'Grinding Services', 'Insulators', 'Knives', 'Lapping Services', 'Machining', 'Metallizing Services', 'Molds', 'Nozzles', 'Plates', 'Pressing Services', 'Prototyping Services', 'Rings', 'Rolls and Rollers', 'Screws', 'Seals', 'Shapes', 'Silicon Nitride', 'Standoffs and Spacers', 'Steatite', 'Substrates', 'Tools', 'Tubes', 'Washers', 'Wells', 'Zirconia (Zirconium Oxide)']"
"Precision Diameters, LLC","Huntington Beach, CA 92648 ",CA,714-375-0553,https://www.precisiondiameters.com/,9-Jan,"Company Description by Thomasnet
Specializing in honing, lapping, grinding and machining services. Copper, brass, bronze alloy and other materials worked with. Lap fitting valves also offered. Suitable for aerospace applications. Lean manufacturing capable. Meets ANSI Z540.1 standards. Six Sigma certified.
Company Description by Precision Diameters, LLC
Ultra-precision at its finest! ... When precision and accuracy are everything! ... When the highest level of accuracy and precision are needed, look no further. Our world is in the millionths of an inch!
","['Finishing Services', 'Grinding Services', 'Honing Services', 'Lapping Services', 'Machining', 'Maintenance and Repair Services', 'Prototyping Services', 'Valves']"
"S & L Machine Logics, Inc.","Santa Clara, CA 95054 ",CA,408-654-8099,http://www.slmachinelogics.com,9-Jan,"Company Description by Thomasnet
Machine shop specializing in custom manufacture of precision mills and lathe components for bio-technology, medical and aerospace industries. Materials handled include brass, bronze, copper, stainless steel and plastics. Capabilities include CNC vertical milling, CNC turning, prototype machining, tooling design, assembly and reverse engineering.
","['Machining', 'Milling Services', 'Plastics', 'Rework Services', 'Turning Services']"
Mattco Forge,"Paramount, CA 90723 ",CA,562-634-8635,http://www.mattcoforge.com,50-99,"Company Description by Thomasnet
Custom manufacturer of metal equipment for aerospace, defense, transportation, oil and gas applications. Products include seamless rolled rings, forged bars, blocks, gears, hubs, shafts, and disks. Capabilities include forgings, heat treatment, machining and manufacturing services. Materials handled include nickel titanium, aluminum, magnesium and stainless steel.
","['Bars', 'Forging Services', 'Rings', 'Treatment Services']"
Coast Metal Cutting,"Redwood City, CA 94063 ",CA,650-369-9837,http://www.coastmetal.com,Oct-49,"Company Description by Thomasnet
Custom manufacturer of precision machined parts and components. Capabilities include prototyping, metal and plate cutting, band sawing, ultra-sonic deburring, drilling, tapping, honing, CNC machining, notching, lathe work, turning and milling.
","['Cleaning Services', 'Copper', 'Cutting Services', 'Deburring / Deflashing Services', 'Drilling Services', 'Fabrication Services', 'Finishing Services', 'Machinery Parts', 'Machining', 'Polishing Services', 'Prototyping Services', 'Turning Services']"
"J.P. Technologies, Machine Shop","Santa Fe Springs, CA 90670 ",CA,562-906-6169,https://jp-tech-inc.business.site/,9-Jan,"Company Description by Thomasnet
Custom manufacturer of machined parts including bushings, cutters, sprockets, gears, rollers, roll dies, & conveyor parts. Services include CNC machining, prototype & precision machining. Machined parts applications include oil pumps & drills, automated food services & conveyor systems. Capabilities include vertical shaper machinery for outside processing of keyways, slotting, splines, gears, couplings, & blind hole parts & accommodation for any material handling needs including plastics, composites & alloyed metals for fabrication. Industries served include aerospace, nuclear, oil & gas, automotive & food processing.
","['Bushings', 'Conveyor Parts', 'Cutters and Cutting Machinery', 'Dies', 'Fabrication Services', 'Gears', 'Machining', 'Mills', 'Prototyping Services', 'Rolls and Rollers', 'Sprockets']"
"Optispac, Inc.","Santa Clarita, CA 91350 ",CA,661-252-9678,http://www.optispac.com,9-Jan,"Company Description by Thomasnet
Manufacturer of a variety of hermetic packages in solutions of glass-metal seals. Products include hermetic packages made of kovar and stainless steel and precision parts made of stainless steel, aluminum, carbon steel, brass, copper, special alloy, polycarbonate, acetal, polyethyelene, nylon, PEEK, ABS, PVC, PTFE, acrylic and vinyl.
","['Electronic Packages', 'Machinery Parts', 'Machining']"
Sungear Incorporated,"San Diego, CA 92126 ",CA,858-549-3166,http://sungearinc.com/,Oct-49,"Company Description by Thomasnet
Custom manufacturer of precision gears and sub-assemblies for commercial, military and aerospace applications. Products include spur, helical, sector, bevel, crown, worm, rack and ratchet gears. Capabilities include prototype, CAD/CAM, assemblies, manufacturing, etching, grinding, cutting and machining. Applications include actuators, pumps, auxiliary power units and engine starters.
","['Cutting Services', 'Gears', 'Spacecraft', 'Turning Services']"
Federal Custom Cable,"Irvine, CA 92606 ",CA,888-440-8688,http://www.fccable.com,50-99,"Company Description by Thomasnet
Custom manufacturer of coaxial cables and cable assemblies for commercial, industrial and defense establishments. Products include connectors, cable caps, adapters, attenuators, isolators, directional couplers, fuse holders, matching pads and tools. Capabilities include forming, machining, welding and prototyping.
","['Attenuators', 'Connectors', 'Couplers and Couplings', 'Crimpers', 'Dividers', 'Electric Wire, Cable and Cable Assemblies', 'Fiber Optic Cable and Cable Assemblies', 'Forming Services', 'Holders', 'Pads', 'Sensors / Detectors / Transducers', 'Tees']"
Laser Innovations,"Anaheim, CA 92807 ",CA,714-630-3261,http://www.laserinnovations.net/,9-Jan,"Company Description by Thomasnet
Precision laser & waterjet cutting. Laser cutting up to 4000 W. 74 ton precision press brake with 6 ft. capacity. 50,000 psi waterjet cutting. Cutting capabilities up to 3 in. thick with plus or minus .001 tolerances. Secondary services include laser scanning, cardboard cutouts & reverse engineering. Welt on tabs, off road parts & accessories & side X side accessories available. Products worked with include steel, aluminum, plastics, wood, quartz, copper, brass & gaskets.
","['Cutting Services', 'Machining']"
"W.Y. Manufacturing, Inc.","Santa Ana, CA 92701 ",CA,714-835-3898,http://www.wymfginc.com,9-Jan,"Company Description by Thomasnet
Provides precision CNC machining services. Capable of machining parts from solid bars, plates, billets, castings, and forgings. Services include horizontal and vertical milling and lathe work.
","['Cutting Services', 'Machining', 'Milling Services', 'Turning Services']"
Delta Machine,"San Jose, CA 95131 ",CA,408-955-9140,https://www.deltamachine.com/,Not Available,"Company Description by Thomasnet
Custom manufacturer of precision machined parts for medical instruments, aerospace and semiconductor sectors. Capabilities include CNC milling, CNC turning and turnkey mechanical assemblies. Materials handled include titanium, tungsten, G10, stainless steel and plastics.
","['Additive Manufacturing', 'Assemblies', 'COVID-19 Response', 'Machining', 'Medical Components', 'Milling Services', 'Tier 2 Medical Mfg. Supplies, Materials, Components & Services', 'Turning Services']"
Net Shapes,"Ontario, CA 91761 ",CA,909-947-3231,http://www.netshapes.com,100-199,"Company Description by Thomasnet
Custom manufacturer of castings and parts for aerospace and military applications. Capabilities include vacuum and investment castings, machined castings, machining, CNC turning and milling services. Materials handled include nickel, bronze, tool and carbon steel.
","['Casting Services', 'Machining', 'Milling Services', 'Turning Services']"
JNC Machining,"San Jose, CA 95125 ",CA,408-920-2520,http://jncmachining.com/,Oct-49,"Company Description by Thomasnet
Custom manufacturer of parts. Capabilities include CNC milling/turning, machining, and fabrication. Materials handled include stainless steel, copper, brass, titanium, and plastics. Markets served include defense, aerospace, aviation, automotive, medical, agriculture, industrial sectors.
","['Fabrication Services', 'Machining', 'Milling Services', 'Turning Services']"
Millennium Metalcraft - Precision Sheetmetal & Machining,"Fremont, CA 94539 ",CA,510-657-4700,http://www.mmcraft.com,Oct-49,"Company Description by Thomasnet
Job shop solutions provided for the aerospace, medical and telecommunications markets. Capabilities include sheet metal fabrication, CNC milling, CAD/CAM machining and prototype/production machining. Materials handled include aluminum, steel and plastics.
","['Fabrication Services', 'Machining']"
"A1-Machine Manufacturing, Inc. Impakt","Santa Clara, CA 95054 ",CA,408-727-0880,http://www.impaktholdings.com/,100-199,"Company Description by Thomasnet
Custom manufacturer of precision machined parts. Capabilities include CNC machining, milling, prototyping, assembly, MIG and TIG welding, laser cutting, lathe work, turnkey manufacturing and anodizing. Materials handled include steel, stainless steel, aluminum and exotic metals.
","['Assemblies', 'Attachments', 'Cutting Services', 'Fabrication Services', 'Machining', 'Manufacturing Services', 'Milling Services', 'Prototyping Services', 'Screw Machine Accessories', 'Stamping Services', 'Turning Services', 'Welding Services']"
Datum Technologies,"Santa Rosa, CA 95407 ",CA,707-738-3914,http://www.datumtech-cnc.com/,9-Jan,"Company Description by Thomasnet
Custom manufacturer of precision components for aerospace, medical device, semiconductor and energy markets. Products include copper electrodes, beryllium copper connectors and microwave housings. Materials handled include aluminum, copper, brass, beryllium, plastics, stainless and tool steel. Capabilities include precision machining, turnkey manufacturing, CNC 5-axis milling and turning, prototyping and electromechanical assembly.
","['Connectors', 'Machining', 'Manufacturing Services', 'Milling Services', 'Satellite Systems', 'Turning Services', 'Welding Rods, Wire and Electrodes']"
"Milco Waterjet, LLC","Huntington Beach, CA 92649-1117 ",CA,800-998-1885,http://www.milcowaterjet.com,Oct-49,"Company Description by Thomasnet
Waterjet Abrasive Cutting/Machining On All Conductive, Non-Conductive & Composite Material Sizes Up To 55"" X 100"" & Thickness' Up To 4"" With A Maximum Weight Of 2 Tons. High Pressured Technology Cuts At Tolerances Of Plus/Minus .005"" While Maintaining Smooth Edges With No Heat Distortion. Also Specializing In CNC Wire EDM, CNC Sinker EDM & EDM Hole Burning. Short & Long Production Runs, Tool & Die, Prototype Development, Injection Molds, Electrode Manufacture & Other Custom Machining In The Aerospace/Defense & Medical, Electrical, General Industrial & Commercial Industries
","['Cutters and Cutting Machinery', 'Cutting Services', 'Drilling Services', 'Fabrication Services', 'Glass', 'Machining', 'Milling Services', 'Signs', 'Woodwork']"
"BT Laser, Inc.","Santa Clara, CA 95050 ",CA,888-818-5277,http://www.btlaser.com,9-Jan,"Company Description by Thomasnet
Precision parts fabrication services. Capabilities are design, rapid prototyping, laser and water-jet cutting, MIG and TIG welding, CNC machining, and reverse engineering from prototype to high-volume production. Work with materials of all types, sizes, and shapes including stainless steel, aluminum, brass, copper, wood, plastic and acrylic, non-metallic, phenolic, rubber, polymers,  and exotic materials. Industries served are solar, aerospace and military, semiconductor, and telecommunications. Forming, finishing, inspection, and assembly are available.
","['Additive Manufacturing', 'Aerospace Components', 'Cutting Services', 'Drilling Services', 'Fabrication Services', 'Job Shop Services', 'Machining', 'Manufacturing Services', 'Milling Services', 'Plastics', 'Polymers', 'Prototyping Services', 'Rubber Goods', 'Turning Services', 'Welding Services']"
"Cooling Source, Inc.","Livermore, CA 94551 ",CA,925-292-1293,http://coolingsource.com/,100-199,"Company Description by Thomasnet
Custom manufacturer of heatsinks for commercial and industrial sectors. Products include fans, heat pipes, and blowers. Capabilities include plastic injection molding, stamping, assembly services, precision machining and forging.
","['Forging Services', 'Machining', 'Pipes', 'Sinks', 'Stamping Services']"
Machining Solutions Inc.,"Torrance, CA 90502 ",CA,310-787-1790,http://www.machining-sol.com,9-Jan,"Company Description by Thomasnet
Custom manufacturing services. Capabilities include fabrication, CNC machining, and assembly. Materials worked with include stainless steel, titanium, InconelÂ®, aluminum, plastics, bronze, exotic metals, and composites. Capable of machining precision components, prototypes, low to medium volume productions, complex parts, forgings, castings, and heat-treated materials. Industries served include aerospace, commercial, industrial, medical, and military.
Company Description by Machining Solutions Inc.
MSI provides custom build to print hardware and assemblies to its customers, specializing in precision turning and complex milling. Established in 2003 machining solutions strives to provide precision products of superior quality at competitive pricing.

Our Machining Centers are high tech and capable of machining up to 4 separate Axis individually as well as simultaneously and in many cases with skillful engineering capable of 5 Axis machining, when pairing with our state of the art CAD/CAM Software, our potential to handle complex geometries are limitless. This gives us the ability to translate customers native CAD models and use them to design & create machining processes that incorporate maximum quality of the machine, optimal & custom tool paths that minimize cycle time and operator interface. We also take advantage of today's Hi Tech/ Hi output cutting tools and substrates that maximize feeds and speeds to ensure quality products that cost less than our competitors. Yes we are comfortable More... taking that extra step! Less
","['Aerospace Components', 'Aircraft Parts', 'Assemblies', 'Casting Services', 'COVID-19 Response', 'Fabrication Services', 'Machinery Parts', 'Machining', 'Manufacturing Services', 'Medical Components', 'Milling Services', 'Plastics', 'Prototyping Services', 'Tier 2 Medical Mfg. Supplies, Materials, Components & Services', 'Turning Services']"
